season,round,driver,circuit_id,era,race_length,actual_cost_seconds,policy_cost_seconds,oracle_cost_seconds,actual_regret_seconds,policy_regret_seconds
2020,4,STR,silverstone,2018-2021 aero,52,13.252199999999998,26.743999999999996,11.162199999999999,2.09,15.581799999999998
2020,4,VET,silverstone,2018-2021 aero,52,15.942199999999998,26.743999999999996,11.162199999999999,4.779999999999999,15.581799999999998
2020,5,LEC,silverstone,2018-2021 aero,52,27.523999999999994,26.743999999999996,26.363999999999994,1.1600000000000001,0.38000000000000256
2020,5,OCO,silverstone,2018-2021 aero,52,26.573999999999995,26.743999999999996,26.363999999999994,0.21000000000000085,0.38000000000000256
2020,7,BOT,spa,2018-2021 aero,44,31.2862,36.414000000000016,27.2162,4.07,9.197800000000015
2020,7,GRO,spa,2018-2021 aero,44,32.4962,36.414000000000016,27.2162,5.280000000000001,9.197800000000015
2020,7,HAM,spa,2018-2021 aero,44,31.2862,36.414000000000016,27.2162,4.07,9.197800000000015
2020,7,KVY,spa,2018-2021 aero,44,31.2862,36.414000000000016,27.2162,4.07,9.197800000000015
2020,7,LAT,spa,2018-2021 aero,44,40.33020000000001,36.414000000000016,27.2162,13.114000000000011,9.197800000000015
2020,7,OCO,spa,2018-2021 aero,44,30.6862,36.414000000000016,27.2162,3.469999999999999,9.197800000000015
2020,7,PER,spa,2018-2021 aero,44,39.06400000000001,36.414000000000016,27.2162,11.847800000000007,9.197800000000015
2020,7,RIC,spa,2018-2021 aero,44,30.6862,36.414000000000016,27.2162,3.469999999999999,9.197800000000015
2020,7,STR,spa,2018-2021 aero,44,30.6862,36.414000000000016,27.2162,3.469999999999999,9.197800000000015
2020,7,VET,spa,2018-2021 aero,44,31.2862,36.414000000000016,27.2162,4.07,9.197800000000015
2020,8,ALB,monza,2018-2021 aero,53,19.810799999999993,25.767999999999986,7.740399999999996,12.070399999999998,18.027599999999993
2020,8,LAT,monza,2018-2021 aero,53,33.85839999999998,25.767999999999986,7.740399999999996,26.117999999999988,18.027599999999993
2020,8,RUS,monza,2018-2021 aero,53,15.500799999999991,25.767999999999986,7.740399999999996,7.760399999999995,18.027599999999993
2020,8,STR,monza,2018-2021 aero,53,8.510399999999995,25.767999999999986,7.740399999999996,0.7699999999999996,18.027599999999993
2020,10,BOT,sochi,2018-2021 aero,53,33.857500000000016,26.06750000000002,7.817250000000005,26.04025000000001,18.250250000000015
2020,10,HAM,sochi,2018-2021 aero,53,42.14750000000002,26.06750000000002,7.817250000000005,34.33025000000002,18.250250000000015
2020,10,LEC,sochi,2018-2021 aero,53,32.80750000000002,26.06750000000002,7.817250000000005,24.990250000000014,18.250250000000015
2020,10,OCO,sochi,2018-2021 aero,53,40.16750000000002,26.06750000000002,7.817250000000005,32.35025000000002,18.250250000000015
2020,10,PER,sochi,2018-2021 aero,53,38.34750000000002,26.06750000000002,7.817250000000005,30.530250000000013,18.250250000000015
2020,10,RIC,sochi,2018-2021 aero,53,43.187500000000014,26.06750000000002,7.817250000000005,35.37025000000001,18.250250000000015
2020,10,VER,sochi,2018-2021 aero,53,34.47750000000002,26.06750000000002,7.817250000000005,26.660250000000016,18.250250000000015
2020,11,GRO,nurburgring,2018-2021 aero,60,79.09999999999997,16.05899999999999,15.95899999999999,63.14099999999998,0.09999999999999964
2020,12,BOT,portimao,2018-2021 aero,66,40.98049999999998,28.01049999999998,28.01049999999998,12.969999999999999,0.0
2020,12,HAM,portimao,2018-2021 aero,66,41.45049999999998,28.01049999999998,28.01049999999998,13.439999999999998,0.0
2020,12,LEC,portimao,2018-2021 aero,66,46.280499999999975,28.01049999999998,28.01049999999998,18.269999999999996,0.0
2020,12,VER,portimao,2018-2021 aero,66,31.71049999999998,28.01049999999998,28.01049999999998,3.6999999999999993,0.0
2020,13,GIO,imola,2018-2021 aero,63,30.487000000000023,31.787000000000024,9.146100000000006,21.34090000000002,22.640900000000016
2020,13,LAT,imola,2018-2021 aero,63,41.48700000000002,31.787000000000024,9.146100000000006,32.34090000000002,22.640900000000016
2020,13,LEC,imola,2018-2021 aero,63,69.34700000000002,31.787000000000024,9.146100000000006,60.20090000000002,22.640900000000016
2020,13,RIC,imola,2018-2021 aero,63,67.52700000000002,31.787000000000024,9.146100000000006,58.38090000000001,22.640900000000016
2020,16,GAS,bahrain,2018-2021 aero,87,156.10199999999998,130.5503,130.50029999999998,25.601699999999994,0.05000000000001137
2020,16,GIO,bahrain,2018-2021 aero,87,132.6603,130.5503,130.50029999999998,2.160000000000025,0.05000000000001137
2020,16,KVY,bahrain,2018-2021 aero,87,135.1503,130.5503,130.50029999999998,4.650000000000006,0.05000000000001137
2020,16,OCO,bahrain,2018-2021 aero,87,194.481,130.5503,130.50029999999998,63.98070000000001,0.05000000000001137
2020,16,RIC,bahrain,2018-2021 aero,87,133.1603,130.5503,130.50029999999998,2.660000000000025,0.05000000000001137
2020,16,STR,bahrain,2018-2021 aero,87,179.131,130.5503,130.50029999999998,48.63070000000002,0.05000000000001137
2020,17,ALB,yas_marina,2018-2021 aero,55,42.2713,41.80099999999999,35.381299999999996,6.890000000000001,6.419699999999992
2020,17,BOT,yas_marina,2018-2021 aero,55,39.6113,41.80099999999999,35.381299999999996,4.230000000000004,6.419699999999992
2020,17,GAS,yas_marina,2018-2021 aero,55,42.2713,41.80099999999999,35.381299999999996,6.890000000000001,6.419699999999992
2020,17,HAM,yas_marina,2018-2021 aero,55,39.6113,41.80099999999999,35.381299999999996,4.230000000000004,6.419699999999992
2020,17,NOR,yas_marina,2018-2021 aero,55,42.2713,41.80099999999999,35.381299999999996,6.890000000000001,6.419699999999992
2020,17,OCO,yas_marina,2018-2021 aero,55,39.6113,41.80099999999999,35.381299999999996,4.230000000000004,6.419699999999992
2020,17,SAI,yas_marina,2018-2021 aero,55,39.6113,41.80099999999999,35.381299999999996,4.230000000000004,6.419699999999992
2020,17,STR,yas_marina,2018-2021 aero,55,42.2713,41.80099999999999,35.381299999999996,6.890000000000001,6.419699999999992
2020,17,VER,yas_marina,2018-2021 aero,55,39.6113,41.80099999999999,35.381299999999996,4.230000000000004,6.419699999999992
2021,1,LEC,bahrain,2018-2021 aero,56,93.362,80.631,80.631,12.730999999999995,0.0
2021,1,NOR,bahrain,2018-2021 aero,56,92.672,80.631,80.631,12.040999999999997,0.0
2021,1,RAI,bahrain,2018-2021 aero,56,92.042,80.631,80.631,11.411000000000001,0.0
2021,1,RIC,bahrain,2018-2021 aero,56,92.75199999999998,80.631,80.631,12.120999999999981,0.0
2021,1,SAI,bahrain,2018-2021 aero,56,89.18199999999999,80.631,80.631,8.550999999999988,0.0
2021,1,STR,bahrain,2018-2021 aero,56,98.082,80.631,80.631,17.450999999999993,0.0
2021,5,GAS,monaco,2018-2021 aero,78,77.162,58.992,58.961999999999996,18.20000000000001,0.030000000000001137
2021,5,NOR,monaco,2018-2021 aero,78,77.162,58.992,58.961999999999996,18.20000000000001,0.030000000000001137
2021,5,PER,monaco,2018-2021 aero,78,71.672,58.992,58.961999999999996,12.71,0.030000000000001137
2021,5,SAI,monaco,2018-2021 aero,78,74.602,58.992,58.961999999999996,15.640000000000008,0.030000000000001137
2021,5,VER,monaco,2018-2021 aero,78,72.52199999999999,58.992,58.961999999999996,13.559999999999995,0.030000000000001137
2021,5,VET,monaco,2018-2021 aero,78,75.822,58.992,58.961999999999996,16.860000000000007,0.030000000000001137
2021,7,ALO,ricard,2018-2021 aero,53,45.267999999999994,29.297999999999995,29.047999999999995,16.22,0.25
2021,7,BOT,ricard,2018-2021 aero,53,46.267999999999994,29.297999999999995,29.047999999999995,17.22,0.25
2021,7,GAS,ricard,2018-2021 aero,53,46.267999999999994,29.297999999999995,29.047999999999995,17.22,0.25
2021,7,HAM,ricard,2018-2021 aero,53,44.348,29.297999999999995,29.047999999999995,15.300000000000004,0.25
2021,7,NOR,ricard,2018-2021 aero,53,41.038,29.297999999999995,29.047999999999995,11.990000000000002,0.25
2021,7,PER,ricard,2018-2021 aero,53,41.038,29.297999999999995,29.047999999999995,11.990000000000002,0.25
2021,7,RIC,ricard,2018-2021 aero,53,47.34799999999999,29.297999999999995,29.047999999999995,18.299999999999997,0.25
2021,7,SAI,ricard,2018-2021 aero,53,46.267999999999994,29.297999999999995,29.047999999999995,17.22,0.25
2021,7,VER,ricard,2018-2021 aero,53,55.215999999999994,29.297999999999995,29.047999999999995,26.168,0.25
2021,8,BOT,red_bull_ring,2018-2021 aero,71,98.7835,67.7835,67.6935,31.090000000000003,0.09000000000000341
2021,8,VER,red_bull_ring,2018-2021 aero,71,94.5735,67.7835,67.6935,26.879999999999995,0.09000000000000341
2021,9,BOT,red_bull_ring,2018-2021 aero,71,92.70349999999999,67.7835,67.6935,25.00999999999999,0.09000000000000341
